Player,Pos,FantasyPoints
C.MCCAFFREY,RB,469.2
L.JACKSON,QB,415.68
D.PRESCOTT,QB,335.7800000000001
R.WILSON,QB,326.6
D.WATSON,QB,318.98
E.ELLIOTT,RB,311.7
A.EKELER,RB,309.0
D.HENRY,RB,294.6
D.COOK,RB,292.4
J.ALLEN,QB,282.56
K.MURRAY,QB,279.28
J.JONES,WR,274.1
C.WENTZ,QB,271.86
D.HOPKINS,WR,266.54
M.RYAN,QB,265.34
K.ALLEN,WR,261.5
L.FOURNETTE,RB,259.4
N.CHUBB,RB,255.2
D.CARR,QB,244.36
S.BARKLEY,RB,244.1
K.COUSINS,QB,242.42
R.FITZPATRICK,QB,239.46
M.INGRAM,RB,238.5
J.LANDRY,WR,237.4
T.LOCKETT,WR,235.2
C.CARSON,RB,232.6
D.MOORE,WR,230.5
B.MAYFIELD,QB,227.18
J.MIXON,RB,225.4
G.MINSHEW,QB,223.24
T.BOYD,WR,222.9
C.SUTTON,WR,222.42
R.TANNEHILL,QB,222.18
D.WALLER,TE,221.0
J.BROWN,WR,219.82
A.BROWN,WR,217.1
M.SANDERS,RB,216.7
J.BRISSETT,QB,215.68
L.BELL,RB,213.0
S.DIGGS,WR,212.1
D.JONES,QB,210.98
O.BECKHAM,WR,201.3
M.TRUBISKY,QB,200.82
A.DALTON,QB,199.66
P.LINDSAY,RB,197.7
D.FREEMAN,RB,197.6
C.RIDLEY,WR,195.0
M.JONES,WR,193.9
J.JACOBS,RB,191.6
S.DARNOLD,QB,183.16
M.GORDON,RB,180.8
M.MACK,RB,179.29999999999995
K.ALLEN,QB,177.48
C.SAMUEL,WR,171.7
D.MONTGOMERY,RB,170.4
M.STAFFORD,QB,166.55999999999997
C.KIRK,WR,166.20000000000005
T.COHEN,RB,163.9
M.WILLIAMS,WR,161.29999999999995
D.JOHNSON,WR,157.1
R.COBB,WR,154.9
D.JOHNSON,RB,154.0
C.HYDE,RB,153.2
D.WESTBROOK,WR,152.7
G.TATE,WR,152.2
D.SINGLETARY,RB,147.9
A.PETERSON,RB,147.0
J.CONNER,RB,145.5
R.FREEMAN,RB,142.2
D.JOHNSON,RB,141.5
S.SHEPARD,WR,139.79999999999998
Z.PASCAL,WR,133.29999999999998
A.MILLER,WR,127.5
A.JEFFERY,WR,122.2
D.WASHINGTON,RB,121.9
A.THIELEN,WR,114.4
J.HOWARD,RB,111.4
N.FANT,TE,111.0
E.ENGRAM,TE,109.4
M.RUDOLPH,QB,108.8
N.HINES,RB,105.9
J.SMITH,TE,104.7
J.SAMUELS,RB,104.4
S.SIMS,WR,103.5
C.KEENUM,QB,103.48
K.HUNT,RB,101.4
R.GAGE,WR,98.8
B.SCOTT,RB,96.9
A.ERICKSON,WR,96.24
W.SNEAD,WR,95.1
F.GORE,RB,94.9
C.THOMPSON,RB,93.6
G.EDWARDS,RB,92.6
N.AGHOLOR,WR,92.0
T.GABRIEL,WR,90.3
A.WILSON,WR,89.4
T.POLLARD,RB,87.2
A.HUMPHRIES,WR,86.5
M.MARIOTA,QB,85.02000000000002
K.JOHNSON,RB,85.0
J.MCKISSIC,RB,83.8
V.MCDONALD,TE,83.5
J.FLACCO,QB,82.88
J.RICHARD,RB,82.8
D.KNOX,TE,79.7
O.JOHNSON,WR,79.0
K.COLE,WR,78.69999999999997
R.PENNY,RB,75.3
D.HASKINS,QB,74.69999999999997
W.DISSLY,TE,73.9
G.BERNARD,RB,68.4
D.LOCK,QB,68.0
B.HILL,RB,67.19999999999999
D.LEWIS,RB,66.3
P.LAIRD,RB,66.2
P.RICHARDSON,WR,64.5
I.MCKENZIE,WR,63.3
T.JOHNSON,RB,60.2
D.MOORE,WR,59.6
J.DRISKEL,QB,58.1
B.SNELL,RB,57.9
D.GUICE,RB,57.4
J.WRIGHT,WR,56.9
E.MANNING,QB,54.38000000000001
J.WILKINS,RB,54.0
K.COUTEE,WR,52.8
K.BALLAGE,RB,51.8
D.HODGES,QB,51.32
R.ARMSTEAD,RB,51.2
M.BOONE,RB,50.0
J.HILL,RB,49.5
V.SMITH,WR,48.7
W.GALLMAN,RB,48.2
T.AUSTIN,WR,47.40000000000001
C.ROGERS,WR,45.7
B.FOWLER,WR,44.3
K.JOHNSON,WR,44.0
B.SCARBROUGH,RB,43.2
M.WALTON,RB,42.0
J.WILLIAMS,RB,40.4
J.GRANT,WR,39.9
M.HALL,WR,39.8
A.ABDULLAH,RB,39.3
P.CAMPBELL,WR,38.1
C.HAM,RB,37.6
I.SMITH,RB,36.3
N.FOLES,QB,35.73999999999999
A.ISABELLA,WR,35.4
B.POWELL,RB,33.2
B.ALLEN,QB,32.5
T.MONTGOMERY,RB,32.3
M.GASKIN,RB,31.4
J.JACKSON,RB,31.2
Q.OLLISON,RB,30.7
T.YELDON,RB,29.7
C.PATTERSON,WR,29.6
K.RAYMOND,WR,29.5
R.BONNAFON,RB,29.3
C.PROSISE,RB,28.8
T.HOMER,RB,28.0
C.DANIEL,QB,26.0
R.FINLEY,QB,24.66
A.BECK,RB,24.54000000000001
W.SMALLWOOD,RB,23.5
T.EDMUNDS,RB,20.0
A.INGOLD,RB,18.1
C.NEWTON,QB,16.68
W.HILLS,RB,16.2
R.GRIFFIN,QB,16.0
A.JANOVICH,RB,15.3
D.JOHNSON,RB,15.2
